Auron1,Tidus1,Auton2,Tidus2,Auron3,Tidus3,RNG[0],RNG[1],RNG[2],RNG[3],RNG[4],RNG[5],RNG[6],RNG[7],RNG[8],RNG[9],RNG[10],RNG[11],RNG[12],RNG[13],RNG[14],RNG[15],RNG[16],RNG[17],RNG[18],RNG[19],RNG[20],RNG[21],RNG[22],RNG[23],RNG[24],RNG[25],RNG[26],RNG[27],RNG[28],RNG[29],RNG[30],RNG[31],RNG[32],RNG[33],RNG[34],RNG[35],RNG[36],RNG[37],RNG[38],RNG[39],RNG[40],RNG[41],RNG[42],RNG[43],RNG[44],RNG[45],RNG[46],RNG[47],RNG[48],RNG[49],RNG[50],RNG[51],RNG[52],RNG[53],RNG[54],RNG[55],RNG[56],RNG[57],RNG[58],RNG[59],RNG[60],RNG[61],RNG[62],RNG[63],RNG[64],RNG[65],RNG[66],RNG[67]
271,131,271,140,286,140,1302921672,136096869,386807971,360939621,990754640,2126860913,499780469,1214113319,915919211,1953223778,1021220492,628194223,222296854,1038304547,67390524,1675717558,218329595,2101075591,1417180122,1328987997,988121977,1978779106,73363077,229497185,712622326,1866666078,994743720,2138889583,1577028006,749925534,143313340,1734401770,1015448753,822727926,1396883986,323934438,821234416,1558493523,1794388581,1963838828,1808860699,1306292240,579124817,1294568077,1960171798,1407374029,907391082,1678164936,303896505,187846132,2037984012,1005641549,613788351,1318045546,1996955248,241498582,2141397261,1431667654,995316569,1901207993,2100435534,1996192220,1140902913,1134182509,1446390606,737879474,1097782973,331741515
270,129,279,129,279,141,673862581,161373022,1380636006,1332904564,804847842,1264519272,87884239,1474298677,1193125975,1669833218,1023333418,1053204012,126973790,1581950596,440986941,1950756237,1138121699,1036235902,1542124166,756244848,2103770381,559285174,84098947,1810082252,2108729379,318997765,1848538197,1220382646,1090724961,1098488150,1830997707,189516236,498144664,1227686359,856165289,417490841,781349163,992766209,882502369,301583770,2012698912,1171612922,1356296948,309889099,986436694,874682949,275641378,60748960,525661065,876771543,638048958,858455086,878406834,1148113734,416463488,1354060391,735578543,322961574,531816362,1212597619,328472489,1424107870,407545856,70606508,2047945365,1878900508,1447121792,766850076
268,139,267,140,291,141,44737954,186613490,934185610,1386675845,1571657420,2125506685,344341286,875732515,553920221,275147957,1721611431,790094263,644324834,1012877643,1607204651,1093428432,1917126848,1878315772,1302375622,1750282307,665043470,1706744009,1719804036,1011399262,1296759858,1643024564,255380881,292171743,875560587,571188461,2092272540,79753230,196820294,1792231732,1505291259,524032862,306906083,96714685,12984654,972761872,1770348025,41045564,769734707,424917991,1264056183,2066237690,1154965108,2079929633,490371459,1306764308,1410924486,659757773,504746703,1289773626,2065137612,1806785737,2055320690,1395569494,790827100,612445783,1099404296,2069676701,1126594620,1071677974,14864325,737017092,986249894,1102235763
287,127,281,131,294,129,1563132659,1460939980,749818216,1379740904,1807540548,134787893,924696564,1937311190,1000539258,1045915311,1145039972,1269348594,430928684,277969121,402280543,112165645,2136356062,566976007,569908914,2121225918,522890582,1361234820,860410011,844876102,651350671,1939840424,662504019,938731549,245749050,1511436323,990093214,2139817064,1899796733,1996887025,1967794705,266972658,1118756308,1557694031,509579394,1434371546,691488097,1182391250,2081346206,512445061,1504550178,815694720,498430960,1239730442,2066161115,1822172652,1448142674,93276597,396236229,1240314856,784128823,367546737,952784056,281852691,1538555873,1526325757,1141221954,1044310622,1028353635,172199098,1066871807,214986288,1160022671,195048142
286,134,267,126,275,125,934073568,1486150597,1743676102,911397566,187391594,168258256,1346716524,2043719695,1461737237,2122186562,1195280894,392906217,1411492192,789877055,1057984162,2015278405,929984834,1094631105,1230634668,437310697,1059209558,891467149,1809182909,1439047446,1910675355,895247103,1070588379,1083948782,1243293165,1639292101,216931710,1223380293,795748482,1300147492,392786781,1055256374,1854046761,1499568449,2111442191,136346694,1171488347,2132533332,1498999213,1551217517,892709204,643357180,279009802,807846140,866184371,1339302794,799442798,1687862284,1894823238,1121156980,16295813,179162055,783838110,2072737153,588888106,851894420,848919367,1815640037,1619903256,1017993500,406904166,2004054749,208016610,794761549
264,128,262,131,282,131,305014477,1511361214,590050341,634246637,1370902485,1648233598,334136467,1530112778,623343281,722087900,302047905,280656319,2039486036,660136664,57457533,327565227,866884177,422185046,941808556,1259409959,311970559,1204810102,297999285,1906161981,1883655366,139643260,237013680,61135524,183054113,1060739822,370897065,1910652439,944273633,402249874,1942919769,1951515113,1075942819,1183068295,779604456,79516671,1422929397,1692257358,821742144,1198867650,851409481,503450377,2042757860,740897661,1803937582,1801145898,1623658214,2129883311,910168930,400487806,15377298,181307283,171206816,1666519676,1528875065,766626110,1269514937,36830308,464066595,1124318425,282179483,1432120758,1459827097,1620160968
284,125,266,131,294,131,1823439034,1536637367,1583878376,1606211580,1184930151,785921807,438288731,1847333579,1598841871,1528851359,116379618,1985905196,2073116439,491235447,1344805286,2092074191,115342003,1439926277,489572871,1039672029,2087088843,1061972359,729303002,1933007463,1406632276,1582862366,1644904321,1427798851,1050913384,1866264536,611148677,917392105,1294080648,199063964,1791027464,73228131,524528809,501371787,722199663,553634273,217680352,1100308816,281378630,1959987222,1591964214,495112015,1801462099,1928571533,349536565,2099105947,844894543,1969226208,429192421,831379573,694057654,2013457271,1059592936,1371322670,1163564497,1386871021,548802992,1185204207,1652581561,1815209968,233091872,1205132157,864405023,997184514
270,136,289,127,272,132,1194350092,854672618,2055687179,898363507,177441356,271642221,2083881787,192649894,1639128012,2008118753,1761236572,1115747144,1335691704,2043468923,29115090,521087422,1579899893,182308673,1272583267,138694436,23634508,137413767,309841755,1947970851,201593077,1943947271,1945646390,209940065,1937373985,993663699,1651755525,657324311,2135418442,1164365016,1433212168,1616711988,1102633711,1635803638,1950562151,81253378,1996403699,739500218,1670840524,1353787938,1369365878,767784060,86033660,1201705858,75424034,77555708,379661050,1859586011,1050426978,249468212,1438181044,2100881686,602074003,2117320695,363338638,893051161,504524299,529281485,823503058,1561293413,890084845,968209815,1573369137,1401554180
283,138,288,137,260,129,565225465,879913086,1609236783,952134788,944316470,1132665319,1633133617,512342930,47110495,330311498,1785154884,604558613,880698214,1433603813,1938685747,475263262,655034713,1062367494,361940725,1105041959,983037833,1212317044,922279993,632429191,7879956,823704442,1901498493,478530451,1580484570,1933013651,1093917086,1636504813,750111412,1899588264,142412368,1036343662,1050327611,1048324465,1892277588,710489009,1007302170,846644823,965193589,2086514692,1506370792,62733823,651177211,1144782294,329481742,297496514,700393809,69887154,477065366,425946025,2028103366,1246945584,606415736,177011332,1044989700,1825094104,1450000985,1012010937,1664251777,1830419236,1567133436,2040582787,1793344200,756857105
274,130,278,129,270,138,2083650021,713931295,2138045345,1840910630,573736136,924629191,800597521,2078937898,432460849,243949184,78993895,559424965,434999553,2090495437,1561704963,1080298906,938957260,1840340088,1603073390,1251676079,1900025817,2010219220,1977156753,1147802353,273294842,1977028559,1574987158,1113770560,1198856906,2078727727,1774170081,1257897847,589815359,537939215,1210085485,1177931855,1348450686,1424701643,1565261163,1349225820,1971397583,1105230988,1668353361,2015993517,1165387275,2005681126,1743992900,1527291362,1012856784,1900355973,749572145,982104988,1958775508,500750392,1917660979,206848412,1388402301,981877813,1813885241,447866761,2017623295,30385858,1556038440,1929186988,1779518446,1796918493,241533895,1186489346
281,139,273,141,292,135,1454561079,31966546,462370500,1133062557,1713796525,410385289,1547858487,686307363,1661222177,1161453109,773694566,2054347525,1546503924,913916150,1866663596,1108414769,529140457,220351099,1740379712,1131737929,1526842196,1750664608,1414860845,217472464,793031075,1384397205,1526580646,1488154496,968179797,1153281192,310181204,1247363516,1063334024,970775922,3099024,1912920345,1980912482,1474219057,1720295837,1042662917,321776164,677973919,988814998,1063461607,1851277432,1401763090,1917774518,671301411,637826968,1932312818,1102019227,1146889749,696138048,309679586,1415519644,515983418,957839977,178421458,1259261736,788358418,1649338377,717367606,1350734730,1604780816,562383118,683330320,159685492,217666969
274,135,281,140,286,127,825501988,57242699,1456198535,2105027500,1527824191,1695557146,1651945215,1003492479,1196442337,1241149778,2005887366,538115568,1004859871,1043306575,945811106,1478440475,1037836025,661784385,1675236677,393097039,1264584784,1942310118,1962101416,1753018181,426631149,1135985511,1087897143,1692940839,1519914906,32939367,1121465387,707547496,1379759983,536851265,1071264142,1664829645,1142314595,306423488,1173684795,645649704,217921880,602754122,57057403,1438411240,2092748950,2036559183,1096787644,409032421,1536002125,1368804176,1657093808,128224603,1780187892,1652126933,2067682962,701416649,42069381,682524658,481210753,1327107237,1347265500,1442879034,2132211132,1130422300,1531012231,846699466,1625737783,1625819329
279,137,269,129,291,127,196442897,82453316,302572774,1827876571,563851434,1028048841,830623103,1146097444,1097413678,1281037222,515056298,927403247,461350966,1803721282,1849611512,1779263916,1360096971,726419409,212475119,1803559419,1832638792,228388951,1267191378,680476619,541881583,595576528,474302940,1409324560,545610550,176371123,483680372,1173978121,247593439,1714425051,932962872,1682747284,1570296950,549670712,1699515473,321499195,1283175786,1560721087,177180040,1792879419,1400638211,895756787,974398931,963904004,868830525,1413902675,49552091,1033666347,1093410194,751787686,900930884,872985582,1931153649,1179286456,1942817743,1239402359,187200127,1565547464,169649994,1785130899,305373241,1706196725,1507700627,1379112019
263,125,282,138,268,127,1714801918,107693784,2003606026,1881582316,1330690863,448793508,1609099382,79860652,1662043666,659509594,850869351,2111286910,2112553766,473115518,1323999773,1889946511,815802570,31919302,1213367847,1452810190,578455577,17989589,1379813869,364234543,1455410950,731035429,349061131,2039198957,1287002579,2104732517,839805034,2080864464,1447335179,42729668,1971944710,1368567344,86287347,1544785665,848951221,1033795446,1875069170,1773084119,1057498162,703554829,693533897,444739320,1812783645,816177875,1249108771,1510217492,857304837,1076753160,1985820630,1973632936,293402296,2060248963,870572179,657739103,1471183181,1721112052,1635297026,905910776,588043775,516947690,1552333288,213735384,745340838,984802528
280,136,286,130,273,127,1085712976,1573212682,136804309,708720603,781989160,1828520509,1027984897,228212925,1707477242,81171953,1061815275,1626071068,1530955102,1682605870,190494365,119933673,220356359,116919696,1174726842,194468925,1061527492,814310295,63460911,1103132669,1913002509,307657221,388920087,558385337,1613862297,1418846562,1574872734,1116379551,753898432,1190484414,1311413718,195212728,1439481628,1447125803,892059244,13691847,1320688090,1295456667,2136735212,240203594,979837568,1488283244,1221652302,2147140909,1979074423,187174624,982819809,251290616,1426936401,824804043,256648237,1895180582,439528582,252892603,402363331,1763946884,1900598743,1460165312,1240781202,818884497,996788073,1805783321,236055505,1084867828
270,137,276,131,260,140,456653885,1598423299,1130596659,240407116,2016499219,45363899,1224460267,887888042,1162268410,584499009,2077897705,975328350,256555434,1246146490,244787517,541436671,667974141,1007009652,1090076952,1923911918,605730966,23278164,861452630,220389939,726951965,245776333,924218291,315898166,545452379,1578889981,2030452206,1696260838,586320350,717948124,453031260,1031884128,1662349830,2056428655,956305392,1441083437,754302220,1441858233,1110567208,1895654665,2076289516,1783668683,5006682,381067804,1698760115,752106823,1983400041,1352776861,1696989232,1596230296,1915567339,1575742388,1983451374,605776005,799956808,1805444679,590879063,2022190028,1202759585,1236946958,1807440585,813856078,1576706553,1450298476
267,125,276,135,266,135,1975078441,1432507044,1659440905,230785333,2099128759,241700725,1549664426,1296496610,1046402375,1849144479,1408242868,590969558,1688408815,2038437062,1884458207,1697649334,1879249584,732248284,520185263,1597998315,1173102851,1667513373,849761831,1721210063,1457529282,1673465201,1690976900,642312010,711398344,572303144,1727824336,1665493915,1499211800,363678561,611961764,535337471,1926231306,1462178696,1222424773,418262048,81064685,1119232610,48177719,417859460,1598609663,1305468984,441253122,603906160,409300459,854350459,935081384,528295971,319054900,12138756,1724442728,1698484020,934875999,1974445361,59400918,1822638291,1618243619,2063829467,144467591,2088245959,1505251668,1851355840,1106562200,2083323115
291,137,279,128,288,140,1345989499,750542295,2131249708,1670420907,900447556,1409855461,2022573734,2108867764,322513461,706601648,1000682592,102046878,1351293230,626699101,1457891529,1988232536,535603315,580109917,2112215545,1852988321,1304012598,109252761,1536263504,1153730380,1630598431,1181741840,1367699620,954821166,442164878,1278908380,436273970,619614802,2089726402,868168576,229961574,292749167,1207989304,2118972040,1138582219,1867263940,8971870,692805992,574454881,2038031138,1319045402,1903620511,1693428422,508761688,1424800297,1902275985,829031467,975969503,892327612,140546584,1739369900,621893773,987083876,866719138,991885860,2020128106,1560754752,2004149882,1750509107,2136202997,970877790,575317852,931169267,1007964129
275,129,286,132,278,126,716930408,775752912,977623947,1393269977,1892831574,86206644,1194894002,309293279,1496291304,582813442,369064466,726590787,279188132,585671482,538362969,106027312,2082801591,610777012,1916319626,329717112,1552741075,443788028,94441497,689031649,217710330,316101635,40096154,200745760,2010454931,1848893076,1754884913,562706323,2050214204,887147858,1133464156,109113480,2044537400,1280083310,446397043,2090092891,370962589,1764125013,1908272528,637892972,1204875830,495135107,1038334033,1865046211,572765167,2122287088,769954208,274031935,1661993042,1653517228,1527863456,324333559,94893750,1677941449,813793718,990062870,1675828510,51028410,144122610,1806655690,434593071,79688456,1985809264,258266731
286,131,273,126,291,132,87805781,800993380,531173551,1447041258,512157505,1138386465,1916400374,692283992,2028791958,1902332241,606750163,1500766239,2104460048,562357928,1954362476,248590844,1218488652,1261515119,33534312,842883828,1115246290,1527708120,376269009,296367596,642820238,1446703143,681065998,1371216018,869224792,468512822,1401084792,2056063242,992422653,285625027,472132635,1272723072,1018477433,1710390192,413455955,1542687983,461392324,1116246282,1663525905,1911133367,1164435151,148869661,547760002,1753180081,1074420073,94487481,1731332783,2017436083,953391727,1862252926,1424698859,1928059519,1699751256,1072515877,2026755619,956579714,1618959320,1080869725,1323690484,91784861,388360348,901830881,2012853551,1019201037
274,139,272,139,287,136,1606230338,826203997,1525031437,978697920,1039492198,980598884,1873335324,524340839,400024331,1217145659,1400604174,968567893,1623066146,496979453,1610999594,1036439368,463256252,2086763225,114397121,1046053139,2041837549,1001786902,1021492745,415382204,2086713125,349043537,1579834769,1634336348,176248717,1440100617,2009221689,2008151692,91321908,448317138,856588554,321290809,263352190,585805119,1259348815,257930930,1986953253,1640871652,808024791,1879563000,1208800318,581623709,874896332,934366055,1758991179,298586241,1243208656,1699014157,240495248,923081960,465384310,465746726,875778689,1411002211,792995607,625472005,1865271427,2028223735,1722306318,112928292,1416197611,1525413994,1275520362,1292278713
282,135,289,129,292,133,977141396,144239248,1996840240,270849847,32003404,657511706,1836494057,1998697676,1420890007,1606927418,622249804,556867155,1140086624,1427465175,1560812430,893069817,2121401017,1110601485,458614186,642195719,284663399,668467995,517759537,344613915,1675360060,1524669862,280186695,272137778,737058303,114284438,1013130142,327863236,210325958,22186916,1609100227,556019952,1524939865,1582408218,1316434985,325157234,875528177,290056461,1029065003,1932251789,1557517588,689487343,1887421195,680283159,1044885394,1187996364,2058427542,1969447925,853419188,1933128050,607055001,663890578,1305421304,1594708375,1774723702,1724063035,1300002593,658085666,1386155128,1334629829,166586202,1622593642,67539386,949408167
284,134,284,138,280,127,348082305,169449865,843214479,2141182565,1024321886,1481310851,1524892669,772141592,1202541323,2022469184,2071295300,1812561763,1061390578,699309616,891589192,178045851,291232342,304251994,1370953323,762067504,1092952011,4950193,1158310621,1684400666,913759553,1373254239,816846871,977794422,633556795,125541723,974895229,1686523411,1521734377,1965134222,1127911190,568524635,1679553917,1971747146,1147630937,1532089632,836032769,1687793701,1372463358,711675789,768971264,1446329224,282937619,1639207811,1340326277,1286473126,414416073,444702121,853667030,1587734090,1164399807,1620050288,493189144,632107389,562418475,1697356092,1155567367,1995952041,1826768029,220589950,585851473,19516952,330086565,743339294
263,128,267,141,275,133,1866441325,3563460,1888041683,41142429,556127379,1798543328,1200972753,413800443,2067497832,205349524,2090422174,1871391495,49801133,309740305,1827289578,596021323,1657531703,803715625,1902255000,657274096,1860494100,790190713,552724408,265115521,1293560798,348838773,1482574441,446810290,275677437,2131082138,1576446223,337645636,319333595,798748212,1924741307,654066729,1667345825,666528552,989676155,1069306444,2016496667,1809557517,408276832,756341364,1744394167,879233512,482138669,1056323952,895842004,970491245,255187287,948407849,358722243,2082701640,1436342772,897089817,1041398843,1216096775,502792502,142803985,300552638,1714112587,2060183580,54599450,527878020,524874129,1164585417,1535273386
275,132,283,134,280,127,1237417919,1469052508,1652609584,958758771,1972665990,1762832472,384610399,1722823373,370548369,107636779,774618194,244251826,342812878,1870308601,91372942,523988046,1358604048,1434798361,638702046,315292747,2127305178,1295445375,1682935879,892840482,1369345542,110283451,1090284357,91103885,1825966766,1826294286,1304095664,1218747703,535269431,2129125265,728366775,392673287,603478591,202404516,48803100,1010870634,554115055,444609358,1408928063,386906885,1009663608,160263018,721878158,2050698162,527337794,960402387,527697788,69273463,1260903421,1711690532,359225347,375684449,1585069073,703231919,2034208677,2135796426,1273461968,1782913689,1301425228,2050051800,527240579,837048420,1739121013,912103747
285,136,283,129,270,130,608293292,1494292976,1206159188,1012464516,591956236,1374733863,379049981,1376125990,20143024,2024099979,2081163964,207714100,2142841869,743820401,1070196659,1456764926,2104140874,996588983,1919412851,747892180,752397663,934310727,1144533661,1931861151,468686434,1189013469,895908558,159073004,1196484631,1246213080,2020378416,572872888,617387816,385685642,1487310749,606490793,1373777921,932871077,458080973,1712713195,854349469,656783677,1883652974,278566437,265161275,1316720416,332718198,1556311916,1439743930,1586965861,2081305346,1912564220,1621140208,1424296536,418177339,561794824,1113376692,1111038185,320984613,1338931543,1485334848,41250039,1453877862,410207047,1412933225,1721879143,64476451,1409527785
272,138,267,132,275,131,2126717849,1519503593,52533427,735313586,1584340254,51085046,1698919432,1532812893,1977987416,2079140137,1013069058,1006540855,652752384,171245295,360694396,1260470433,649750158,1278956553,1187115553,775582036,240710007,489140251,1608279439,1923111232,846510009,724673638,2054328297,102867054,1100695856,740608897,286930523,387725603,1208208432,1529125341,1868923379,1913881379,2047108334,1209740889,1481799803,230439228,1692440310,1564672291,805586965,327036172,99683165,921070141,1162244751,329247015,1704452631,1816633238,610497912,1015862597,1466842132,1276691452,1654710991,484470472,152894834,539975485,1850102110,1615547964,769692112,860174405,1718466708,1788392290,937376597,1270711937,1478124326,2083715406
